Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage,
春季,10,3,7,1,0.1,7,0.2,6,0.5112,0.7139,0.232,0.9798,241.33,1_Opt_Extend,
春季,15,3,7,1,0.1,7,0.2,6,0.4962,0.6967,0.2222,0.981,99.37,1_Opt_Extend,
春季,20,3,7,1,0.1,7,0.2,6,0.5236,0.7348,0.2371,0.9786,92.08,1_Opt_Extend,
春季,25,3,7,1,0.1,7,0.2,6,0.5062,0.7099,0.2311,0.9802,100.59,1_Opt_Extend,
春季,30,3,7,1,0.1,7,0.2,6,0.5537,0.7636,0.2461,0.9771,98.13,1_Opt_Extend,
春季,15,1,7,1,0.1,7,0.2,6,0.4981,0.6943,0.2181,0.9811,99.65,2_Opt_Window,
春季,15,2,7,1,0.1,7,0.2,6,0.4996,0.6946,0.2197,0.981,98.94,2_Opt_Window,
春季,15,3,7,1,0.1,7,0.2,6,0.4962,0.6967,0.2222,0.981,99.37,2_Opt_Window,
春季,15,4,7,1,0.1,7,0.2,6,0.5189,0.7181,0.2276,0.9796,95.04,2_Opt_Window,
春季,15,5,7,1,0.1,7,0.2,6,0.4998,0.7007,0.2241,0.9806,95.33,2_Opt_Window,
春季,15,3,3,1,0.1,7,0.2,6,0.5039,0.7028,0.2247,0.9804,103.01,3_Opt_Threshold,
春季,15,3,5,1,0.1,7,0.2,6,0.4997,0.7024,0.2207,0.9806,96.49,3_Opt_Threshold,
春季,15,3,7,1,0.1,7,0.2,6,0.4962,0.6967,0.2222,0.981,99.37,3_Opt_Threshold,
春季,15,3,9,1,0.1,7,0.2,6,0.4954,0.6952,0.222,0.9809,106.89,3_Opt_Threshold,
春季,15,3,11,1,0.1,7,0.2,6,0.4955,0.6977,0.2195,0.9808,103.4,3_Opt_Threshold,
春季,15,3,9,1,0.1,3,0.2,6,0.5342,0.7482,0.2453,0.9777,102.16,4_Opt_DecExtra,
