Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage
春季,10,3,7.0,1.0,0.1,7,0.2,6,0.9506,1.3309,0.4468,0.9203,1168.59,1_Opt_Extend
春季,15,3,7.0,1.0,0.1,7,0.2,6,0.9154,1.2942,0.4308,0.9255,339.28,1_Opt_Extend
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,380.32,1_Opt_Extend
春季,25,3,7.0,1.0,0.1,7,0.2,6,0.9084,1.2817,0.4441,0.9272,483.49,1_Opt_Extend
春季,30,3,7.0,1.0,0.1,7,0.2,6,0.9885,1.3773,0.474,0.9169,429.65,1_Opt_Extend
春季,20,1,7.0,1.0,0.1,7,0.2,6,0.9553,1.3467,0.4424,0.9204,333.83,2_Opt_Window
春季,20,2,7.0,1.0,0.1,7,0.2,6,0.9087,1.2778,0.4397,0.9276,323.98,2_Opt_Window
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,380.32,2_Opt_Window
春季,20,4,7.0,1.0,0.1,7,0.2,6,0.9534,1.3418,0.4532,0.9201,350.16,2_Opt_Window
春季,20,5,7.0,1.0,0.1,7,0.2,6,0.9437,1.3228,0.4551,0.9223,481.46,2_Opt_Window
春季,20,3,3.0,1.0,0.1,7,0.2,6,0.9537,1.3474,0.4561,0.9184,480.53,3_Opt_Threshold
春季,20,3,5.0,1.0,0.1,7,0.2,6,0.9108,1.2888,0.4401,0.9261,336.8,3_Opt_Threshold
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,380.32,3_Opt_Threshold
春季,20,3,9.0,1.0,0.1,7,0.2,6,0.9118,1.2886,0.4425,0.9259,460.35,3_Opt_Threshold
春季,20,3,11.0,1.0,0.1,7,0.2,6,0.9547,1.3512,0.4533,0.9185,516.29,3_Opt_Threshold
